specimen_id,MS_institution_code,iDB_institution_code,MS_collection_code,iDB_collection_code,MS_catalog_number,iDB_catalog_number,MS_genus,iDB_genus,MS_species,iDB_species
5682,UCMP,ucmp,,v,218113,218113,,,,
5683,UCMP,ucmp,,v,218126,218126,,,,
5684,UCMP,ucmp,,v,218133,218133,,,,
5685,UCMP,ucmp,,v,218134,218134,,,,
5686,UCMP,ucmp,,v,218193,218193,,,,
5687,UCMP,ucmp,,v,218115,218115,,,,
5688,UCMP,ucmp,,v,217998,217998,,,,
5689,UCMP,ucmp,,v,218143,218143,,,,
5690,UCMP,ucmp,,v,218153,218153,,,,
5691,UCMP,ucmp,,v,218209,218209,,,,
5692,UCMP,ucmp,,v,218172,218172,,,,
5693,UCMP,ucmp,,v,218142,218142,,,,
5694,UCMP,ucmp,,v,218188,218188,,,,
5695,UCMP,ucmp,,v,218187,218187,,,,
5696,UCMP,ucmp,,v,218121,218121,,,,
5697,UCMP,ucmp,,v,217983,217983,,,,
5700,UF,uf,,mammals,23984,23984,Chironectes,chironectes,minimus,minimus
5701,UF,uf,,mammals,24154,24154,Philander,philander,opossum,opossum
5702,UF,uf,,mammals,28277,28277,Dendrolagus,dendrolagus,inustus,inustus
5703,UF,uf,,mammals,28959,28959,Dendrolagus,dendrolagus,inustus,inustus
5704,UF,uf,,mammals,30877,30877,Marmosa,marmosa,sp.,
5705,USNM,usnm,,mammals,239191,239191,Cynocephalus,cynocephalus,volans,volans
5706,AMNH,amnh,M,mammals,183285,m-183285,Callimico,callimico,goeldii,goeldii
5707,AMNH,amnh,M,mammals,183291,m-183291,Callimico,callimico,goeldii,goeldii
5708,AMNH,amnh,M,mammals,187861,m-187861,Cynocephalus,cynocephalus,volans,volans
5709,AMNH,amnh,M,mammals,201366,m-201366,Otolemur,galago,crassicaudatus,
5711,UF,uf,,mammals,31526,31526,Didelphis,didelphis,virginiana,virginiana
5712,UF,uf,,mammals,31987,31987,Philander,philander,opossum,opossum
5713,UF,uf,,mammals,33214,33214,Didelphis,didelphis,marsupialis,marsupialis
5718,UCMP,ucmp,,v,217974,217974,,,,
5719,UCMP,ucmp,,v,217979,217979,,,,
5720,UCMP,ucmp,,v,217978,217978,,,,
5721,UCMP,ucmp,,v,218210,218210,,,,
5722,UCMP,ucmp,,v,218162,218162,,,,
5723,UCMP,ucmp,,v,218163,218163,,,,
5724,UCMP,ucmp,,v,218164,218164,,,,
5725,UCMP,ucmp,,v,218149,218149,,,,
5726,UCMP,ucmp,,v,218167,218167,,,,
5727,UCMP,ucmp,,v,218179,218179,,,,
